productNumber,productAsin,productUuid,productImageLink,productLink,productTitle,productStar,numberComment,productPrice,productOldPrice,discountRate
25,B097HY2RYZ,220f4fe5-c0cc-4de3-a65c-289f2126fab1,https://m.media-amazon.com/images/I/61Xt7SjXDQL._AC_UL320_.jpg,https://www.amazon.co.uk//Nutmeg-Vegetable-Chilli-12M-200G/dp/B097HY2RYZ,"Nutmeg Vegetable Chilli 12M+ 200G,, 1 x 1 g",4.6 out of 5 stars,67,£1.05,,
26,B079P7WZKN,5e64cce7-6881-4206-a5f5-92b1f4bb8a1a,https://m.media-amazon.com/images/I/815cRdzhfIL._AC_UL320_.jpg,https://www.amazon.co.uk//Baby-Anjanette-Comer/dp/B079P7WZKN,The Baby,3.6 out of 5 stars,31,£1.99,,
27,B00WUEXDB2,778cfe14-10aa-43c4-b99b-5db9a34dc66d,https://m.media-amazon.com/images/I/71DNN63xEJL._AC_UL320_.jpg,https://www.amazon.co.uk//Heinz-Apple-Blackcurrant-Spring-Water/dp/B00WUEXDB2,"Heinz Fruity Spring Water Apple And Blackcurrant Juice, 6+ Months, 500 Ml",4.3 out of 5 stars,88,£1.20,,
28,B015O5GUN6,6b53e81e-cd0a-458a-a3b6-1cc30c0dbf5d,https://m.media-amazon.com/images/I/61NMuZb+kyL._AC_UL320_.jpg,https://www.amazon.co.uk//Heinz-Chocolate-Biscotti-Snack-Months/dp/B015O5GUN6,"Heinz Chocolate Biscotti, 7 Months +, 60 g",4.7 out of 5 stars,74,£0.80,,
29,B07LFL7BSY,c1cc68a0-6800-4aa1-b12b-f7732852b3e5,https://m.media-amazon.com/images/I/517WDf0vlOL._AC_UL320_.jpg,https://www.amazon.co.uk//ellas-Kitchen-Peach-Banana-Sticks/dp/B07LFL7BSY,"Ella's Kitchen Peach & Banana Melty Sticks, 16g",4.8 out of 5 stars,90,£0.96,£1.10,%12.73
30,B00I8UCQHE,91172891-dc9a-4b6c-85b5-35458cf82541,https://m.media-amazon.com/images/I/71VFW8fat1L._AC_UL320_.jpg,https://www.amazon.co.uk//Ellas-Kitchen-Organic-Papayas-Mangoes/dp/B00I8UCQHE,"Ella's Kitchen Organic Mangoes Pears + Papayas, 120g",4.7 out of 5 stars,179,£1.10,£1.19,%7.56
31,B097HX8DCQ,b83704db-bb0d-4d30-807c-79e1b99920ac,https://m.media-amazon.com/images/I/61hwFfSWwoL._AC_UL320_.jpg,https://www.amazon.co.uk//Nutmeg-Mac-Cheese-12M-200G/dp/B097HX8DCQ,"Nutmeg Mac & Cheese 12M+ 200G,, 1 x 1 g",4.5 out of 5 stars,74,£1.07,,
32,B0BGN9ZDP3,7259417a-a48d-415d-971f-9a3b6871f88d,https://m.media-amazon.com/images/I/71LzclKyGGL._AC_UL320_.jpg,https://www.amazon.co.uk//Christmas-Rubber-Calendar-Toddler-Creative/dp/B0BGN9ZDP3,"Mini Christmas Rubber Ducks Advent Calendar with 24PCS Toys,Toddler Advent Calendar 2022,Creative Bath Toy for Boys, Girls, Kids, Christmas Party Favor Gifts",,,£9.90,£10.96,%9.67
33,B09TDLNNPF,ba7e3a6c-27ad-4f26-aa09-f9d2f3d7031f,https://m.media-amazon.com/images/I/61Cu6GFyWUL._AC_UL320_.jpg,https://www.amazon.co.uk//Baby-Monitor-Display-Infrared-Temperature/dp/B09TDLNNPF,"BabyTime Baby Monitor, Video Baby Monitor 5"" Color Display with 1080P Pan/Tilt Camera, Night Vision, Two-Way Audio, Temperature & Sound Alarm, Smart Nursery Mode, Up to 1000ft Range, App Control",4.1 out of 5 stars,213,£99.99,£199.99,%50.0
34,1452175217,d7f9873c-5a6d-49d7-9fea-847d627924ef,https://m.media-amazon.com/images/I/71cgeQQzWJL._AC_UL320_.jpg,https://www.amazon.co.uk//Hug-Me-Little-Bear-Finger/dp/1452175217,"Hug Me Little Bear: Finger Puppet Book: (baby's First Book, Animal Books for Toddlers, Interactive Books for Toddlers) (Little Finger Puppet Board Books): 1",4.6 out of 5 stars,303,£5.99,£6.99,%14.31
